rcid,session,vote,ccode
3,1,9,55
3,1,9,692
4,1,9,52
4,1,3,150
4,1,9,437
4,1,9,830
5,1,3,212
5,1,9,355
5,1,9,947
6,1,8,41
6,1,9,339
6,1,9,366
7,1,1,135
7,1,9,352
7,1,3,900
8,1,9,372
8,1,9,516
8,1,1,651
8,1,9,946
9,1,1,40
9,1,9,402
9,1,9,490
9,1,1,750
10,1,1,140
10,1,9,325
10,1,9,552
11,1,9,380
11,1,9,451
11,1,9,452
11,1,1,645
11,1,9,946
11,1,9,990
12,1,1,2
12,1,9,438
12,1,9,484
12,1,9,790
13,1,9,371
13,1,9,955
14,1,9,368
14,1,9,471
14,1,9,481
14,1,9,702
14,1,9,935
15,1,9,663
15,1,9,775
16,1,9,349
16,1,9,540
16,1,9,570
16,1,9,780
17,1,9,235
17,1,9,344
17,1,9,452
17,1,9,591
17,1,9,790
18,1,9,53
18,1,3,140
18,1,9,520
18,1,9,626
19,1,1,41
19,1,9,352
19,1,9,404
20,1,9,540
20,1,9,552
21,1,9,52
21,1,9,53
22,1,3,94
22,1,3,212
22,1,9,990
23,1,1,220
23,1,9,316
23,1,9,338
23,1,1,530
23,1,9,702
24,1,9,626
25,1,1,135
25,1,9,305
25,1,9,344
25,1,9,439
25,1,9,510
26,1,9,56
26,1,3,900
27,1,1,210
28,1,9,541
28,1,9,571
28,1,9,935
29,1,9,338
29,1,9,475
29,1,9,551
30,1,9,551
31,1,3,290
31,1,3,370
31,1,9,373
31,1,9,678
32,1,9,232
33,1,1,200
33,1,9,349
33,1,1,560
33,1,9,696
33,1,9,983
34,1,9,56
34,1,1,91
34,1,1,92
35,1,9,366
35,1,9,372
35,1,9,946
35,1,9,947
36,1,9,56
36,1,9,80
36,1,9,230
37,1,9,310
37,1,3,750
37,1,9,770
37,1,9,850
38,1,1,165
39,1,1,140
39,1,1,651
39,1,1,750
39,1,9,830
39,1,9,835
39,1,9,910
40,1,9,551
40,1,9,552
40,1,9,678
40,1,9,835
41,1,9,54
41,1,9,812
42,1,9,368
42,1,9,987
43,1,9,54
43,1,9,946
44,1,9,56
44,1,1,212
44,1,9,325
44,1,9,355
44,1,9,482
44,1,9,500
44,1,9,571
44,1,9,620
44,1,9,770
46,2,1,90
46,2,1,385
46,2,2,530
46,2,9,580
46,2,9,626
46,2,1,640
46,2,9,781
46,2,9,850
47,2,9,58
47,2,9,483
47,2,9,581
48,2,9,58
48,2,9,620
49,2,3,135
49,2,1,369
49,2,1,370
49,2,9,540
49,2,9,551
49,2,9,811
50,2,9,54
50,2,9,110
50,2,9,344
50,2,9,355
50,2,9,531
51,2,9,58
51,2,9,205
51,2,9,452
51,2,9,461
51,2,9,551
51,2,9,731
51,2,9,983
52,2,9,31
52,2,1,93
52,2,9,325
52,2,9,339
52,2,9,571
52,2,9,581
52,2,9,816
53,2,9,771
53,2,9,780
54,2,1,651
55,2,1,40
55,2,9,80
55,2,3,210
55,2,9,352
55,2,9,626
55,2,9,704
56,2,9,58
56,2,1,160
56,2,9,260
56,2,3,369
56,2,2,840
56,2,9,910
56,2,9,970
57,2,9,235
57,2,9,343
57,2,9,432
58,2,3,2
58,2,9,58
58,2,9,235
58,2,9,475
58,2,9,790
58,2,1,840
59,2,9,349
59,2,9,591
59,2,9,600
59,2,9,680
60,2,2,155
60,2,9,403
60,2,9,411
60,2,9,451
61,2,9,483
61,2,9,572
61,2,9,830
61,2,9,935
62,2,9,690
62,2,9,781
63,2,8,150
63,2,9,517
63,2,9,541
63,2,9,616
63,2,9,626
63,2,9,816
64,2,1,135
64,2,9,317
64,2,9,438
64,2,9,625
65,2,1,135
65,2,1,380
65,2,9,517
65,2,9,553
65,2,9,702
66,2,9,52
66,2,9,433
66,2,9,471
66,2,9,511
66,2,1,770
67,2,1,94
67,2,1,100
68,2,9,225
68,2,2,660
68,2,2,670
68,2,9,811
69,2,1,90
69,2,2,100
69,2,3,160
69,2,9,471
69,2,9,500
70,2,3,42
70,2,9,110
70,2,9,260
70,2,9,316
70,2,9,703
71,2,9,517
71,2,9,522
71,2,9,615
71,2,9,705
72,2,3,41
72,2,3,70
72,2,1,135
72,2,9,371
72,2,1,385
72,2,3,660
73,2,1,370
73,2,9,372
73,2,9,375
73,2,9,411
73,2,9,830
75,2,9,58
75,2,1,140
75,2,9,820
76,2,9,265
76,2,1,385
76,2,9,625
76,2,9,712
77,2,9,553
77,2,9,970
9001,2,8,212
9001,2,3,390
9001,2,9,600
9002,2,2,90
9002,2,9,205
9002,2,9,600
9002,2,9,626
9003,2,9,223
9003,2,9,355
9003,2,9,704
9003,2,9,771
9003,2,9,935
9003,2,9,970
9004,2,9,411
9004,2,9,436
9004,2,9,438
9005,2,9,56
9005,2,9,471
9005,2,9,572
9006,2,8,41
9006,2,1,92
9006,2,9,572
9006,2,9,987
78,3,9,51
78,3,9,591
79,3,9,317
79,3,9,935
79,3,9,987
80,3,8,94
80,3,9,359
80,3,9,983
81,3,1,20
81,3,1,40
81,3,9,80
81,3,9,420
81,3,9,438
81,3,9,482
81,3,9,483
81,3,9,590
81,3,9,946
83,3,9,260
83,3,8,560
83,3,9,705
83,3,9,850
84,3,1,160
84,3,9,990
85,3,9,53
85,3,8,94
85,3,9,110
85,3,9,343
85,3,9,701
85,3,8,800
85,3,3,920
85,3,9,935
85,3,9,983
86,3,9,115
86,3,9,710
87,3,1,101
87,3,9,433
87,3,9,517
87,3,9,531
87,3,9,551
87,3,9,698
88,3,1,90
88,3,9,420
88,3,9,703
88,3,9,771
89,3,9,235
89,3,9,260
89,3,9,461
90,3,1,94
90,3,9,731
91,3,9,366
91,3,1,700
91,3,9,820
91,3,9,935
91,3,9,983
92,3,9,483
93,3,9,57
93,3,8,130
93,3,2,630
93,3,9,771
94,3,9,572
94,3,9,712
95,3,9,317
95,3,9,355
95,3,2,450
95,3,9,482
95,3,2,530
95,3,9,790
95,3,9,970
96,3,9,223
96,3,9,325
96,3,9,331
96,3,9,404
96,3,9,946
97,3,3,92
97,3,9,349
97,3,9,615
98,3,3,20
98,3,9,355
99,3,9,58
99,3,9,403
99,3,9,436
99,3,2,645
100,3,9,590
101,3,9,55
101,3,9,461
101,3,9,940
102,3,9,481
102,3,9,680
103,3,9,230
103,3,3,380
103,3,9,935
104,3,1,345
104,3,9,551
105,3,9,52
105,3,9,55
105,3,1,165
105,3,2,369
105,3,9,404
105,3,9,571
105,3,9,600
105,3,1,652
106,3,9,221
106,3,9,260
106,3,3,290
106,3,9,317
107,3,9,317
107,3,9,433
107,3,9,434
107,3,9,690
108,3,3,2
108,3,9,367
108,3,9,461
109,3,9,484
109,3,9,680
109,3,9,698
110,3,3,93
110,3,9,986
111,3,2,135
111,3,9,317
111,3,9,368
111,3,9,692
111,3,9,970
112,3,9,581
112,3,9,625
112,3,9,701
113,3,9,31
113,3,3,42
113,3,9,110
113,3,9,970
114,3,9,694
115,3,9,310
115,3,9,484
115,3,9,565
116,3,9,205
116,3,9,316
116,3,9,411
117,3,8,92
117,3,1,212
117,3,9,438
117,3,9,482
117,3,9,553
117,3,9,591
117,3,9,680
117,3,9,950
118,3,3,20
118,3,3,200
118,3,9,471
119,3,3,40
119,3,9,339
119,3,9,540
119,3,2,700
119,3,9,910
120,3,9,331
120,3,9,461
120,3,9,551
120,3,9,950
121,3,3,2
121,3,2,91
121,3,3,93
121,3,3,210
121,3,1,345
121,3,9,703
121,3,3,800
121,3,9,983
122,3,9,704
123,3,9,230
123,3,9,339
123,3,9,367
123,3,9,434
123,3,3,640
123,3,9,705
123,3,9,987
124,3,3,40
124,3,3,150
124,3,2,160
124,3,3,220
124,3,9,663
125,3,9,339
126,3,9,55
126,3,9,223
126,3,9,373
126,3,9,490
126,3,9,600
127,3,9,316
127,3,9,368
127,3,9,404
127,3,9,950
128,3,9,265
128,3,1,315
129,3,9,435
129,3,9,475
130,3,9,367
131,3,3,369
131,3,9,371
132,3,1,345
132,3,9,451
132,3,9,830
133,3,1,41
133,3,1,70
133,3,9,205
134,3,9,60
134,3,9,581
134,3,1,630
135,3,9,51
135,3,9,420
135,3,9,500
135,3,9,816
136,3,9,696
136,3,9,701
136,3,9,811
136,3,1,900
137,3,1,100
137,3,1,160
137,3,9,481
137,3,9,531
137,3,3,670
137,3,3,678
137,3,9,940
137,3,9,970
137,3,9,990
138,3,9,331
138,3,9,451
138,3,9,552
139,3,9,471
139,3,9,565
139,3,9,571
139,3,2,640
140,3,3,200
140,3,2,220
140,3,9,404
140,3,9,694
140,3,9,830
141,3,9,712
142,3,9,31
142,3,8,92
142,3,9,343
143,3,9,54
143,3,1,395
143,3,8,530
143,3,9,570
143,3,9,616
144,3,3,370
144,3,9,511
144,3,9,520
144,3,2,670
144,3,9,760
145,3,9,58
145,3,1,200
145,3,9,461
145,3,9,616
146,3,9,56
146,3,1,210
146,3,9,310
146,3,8,395
146,3,9,471
147,3,9,316
147,3,9,590
148,3,9,52
148,3,9,55
148,3,9,225
148,3,9,483
148,3,9,484
148,3,9,520
148,3,9,696
148,3,9,947
149,3,3,315
149,3,3,365
149,3,9,541
149,3,9,850
149,3,9,970
150,3,9,439
150,3,9,571
150,3,1,900
151,3,2,20
152,3,3,42
152,3,9,60
152,3,3,91
152,3,9,375
152,3,9,663
152,3,2,670
152,3,9,830
153,3,9,520
153,3,9,986
154,3,9,343
154,3,9,616
154,3,9,970
155,3,3,160
155,3,9,359
155,3,9,712
156,3,9,437
156,3,2,530
157,3,9,115
157,3,3,395
157,3,2,530
157,3,9,553
158,3,9,110
158,3,9,360
158,3,9,570
159,3,1,345
159,3,9,694
159,3,9,970
160,3,3,150
160,3,1,670
160,3,1,775
161,3,3,90
161,3,9,572
162,3,9,572
162,3,9,712
163,3,9,223
163,3,9,482
164,3,1,101
164,3,9,910
165,3,9,551
165,3,2,651
165,3,9,710
166,3,9,110
166,3,9,572
166,3,9,690
166,3,9,940
167,3,9,481
168,3,9,221
168,3,9,435
168,3,9,571
168,3,9,955
169,3,9,359
169,3,3,369
169,3,9,811
170,3,9,223
170,3,9,366
170,3,9,484
170,3,9,571
171,3,9,60
172,3,3,220
172,3,9,316
172,3,9,317
172,3,9,338
172,3,9,355
172,3,1,750
173,3,9,484
173,3,9,702
173,3,3,900
173,3,9,950
174,3,3,160
174,3,9,438
9007,3,9,57
9007,3,9,531
9007,3,9,712
9008,3,2,40
9008,3,9,565
9009,3,9,51
9009,3,9,349
9009,3,2,385
9009,3,1,560
9009,3,9,830
9009,3,9,940
9010,3,9,510
9011,3,1,2
9011,3,9,552
9011,3,9,820
9012,3,9,60
9013,3,2,70
9013,3,1,450
175,4,9,221
175,4,9,434
175,4,9,483
175,4,3,560
176,4,9,54
176,4,1,155
176,4,9,366
176,4,9,591
177,4,3,41
177,4,1,560
177,4,3,900
177,4,9,983
178,4,9,663
178,4,9,696
179,4,1,370
179,4,9,696
179,4,9,830
180,4,9,260
180,4,9,310
181,4,9,55
181,4,9,402
182,4,1,93
182,4,9,452
182,4,9,517
182,4,9,553
182,4,9,701
182,4,9,811
182,4,9,812
183,4,8,92
183,4,9,620
183,4,9,696
183,4,3,713
184,4,9,520
184,4,2,630
185,4,3,211
185,4,9,436
185,4,9,760
186,4,9,260
186,4,9,359
186,4,9,360
186,4,9,403
186,4,9,434
187,4,3,70
187,4,9,338
187,4,9,696
188,4,3,145
188,4,9,310
189,4,9,511
189,4,9,516
189,4,3,800
190,4,9,349
190,4,9,434
190,4,9,702
191,4,9,590
192,4,3,40
192,4,9,58
192,4,3,200
192,4,9,260
192,4,9,402
192,4,9,703
193,4,9,230
194,4,9,232
194,4,9,360
194,4,9,436
195,4,3,345
195,4,9,367
195,4,9,510
196,4,9,482
196,4,9,553
196,4,9,760
196,4,9,970
197,4,9,510
197,4,1,560
198,4,9,54
198,4,8,90
198,4,9,402
198,4,9,404
199,4,3,800
200,4,3,220
200,4,9,461
200,4,9,510
200,4,9,591
200,4,9,835
201,4,1,290
201,4,9,439
201,4,2,530
201,4,9,590
201,4,9,705
202,4,8,150
202,4,3,165
202,4,9,701
202,4,9,704
202,4,3,840
202,4,9,950
202,4,9,955
203,4,1,315
203,4,9,451
203,4,1,660
203,4,9,701
203,4,9,780
204,4,9,437
204,4,9,511
205,4,9,344
205,4,9,696
206,4,9,221
206,4,9,481
206,4,9,694
207,4,9,223
207,4,9,346
207,4,1,370
207,4,9,552
207,4,9,565
207,4,9,626
207,4,9,705
207,4,9,860
208,4,9,55
208,4,2,135
208,4,9,317
208,4,9,591
208,4,9,698
209,4,8,94
209,4,9,692
209,4,9,705
210,4,9,438
210,4,9,552
210,4,9,591
211,4,9,55
211,4,9,375
211,4,2,395
211,4,9,434
211,4,9,771
213,4,9,325
213,4,9,541
214,4,1,90
214,4,3,380
214,4,1,450
214,4,9,986
215,4,9,316
215,4,9,344
215,4,9,403
216,4,9,51
216,4,3,315
216,4,9,339
216,4,9,565
216,4,2,630
217,4,9,541
217,4,9,771
218,4,1,315
218,4,9,436
218,4,9,437
218,4,1,775
219,4,2,160
219,4,9,615
219,4,9,731
221,4,2,210
221,4,3,212
221,4,9,712
222,4,1,41
222,4,3,200
222,4,9,451
223,4,2,93
223,4,9,223
223,4,9,310
223,4,9,352
223,4,9,368
223,4,1,678
224,4,8,150
224,4,9,531
224,4,9,625
224,4,1,750
224,4,9,983
225,4,9,230
225,4,9,531
225,4,9,540
225,4,9,565
225,4,9,860
225,4,9,950
226,4,2,210
226,4,9,433
226,4,9,571
226,4,9,694
226,4,9,947
227,4,9,115
227,4,9,375
227,4,9,517
228,4,9,310
228,4,9,367
228,4,9,590
228,4,9,811
228,4,9,816
229,4,9,58
229,4,1,140
229,4,3,390
229,4,9,437
229,4,9,812
230,4,1,140
230,4,9,553
230,4,9,625
230,4,9,701
231,4,9,451
231,4,9,580
232,4,9,360
232,4,3,385
232,4,9,438
232,4,9,581
232,4,9,626
233,4,9,31
233,4,9,565
233,4,9,850
234,4,9,331
234,4,9,338
235,4,9,338
235,4,9,352
236,4,1,350
236,4,9,373
236,4,9,375
237,4,9,51
237,4,9,541
237,4,9,571
237,4,2,920
238,4,9,305
238,4,9,310
238,4,9,402
238,4,2,640
238,4,9,701
238,4,9,830
239,5,3,100
239,5,3,212
239,5,1,315
239,5,9,451
239,5,9,812
240,5,9,305
240,5,1,365
240,5,1,700
241,5,9,60
241,5,9,372
241,5,9,680
242,5,2,160
242,5,9,325
242,5,9,704
243,5,9,56
243,5,9,225
243,5,9,235
243,5,9,517
243,5,9,812
243,5,3,840
244,5,1,315
244,5,9,331
244,5,9,343
244,5,3,750
245,5,3,212
245,5,2,652
246,5,9,223
246,5,9,490
246,5,9,712
246,5,9,812
247,5,2,160
247,5,9,230
247,5,9,692
247,5,9,694
247,5,3,920
247,5,9,955
249,5,9,56
249,5,1,678
250,5,9,265
250,5,9,411
250,5,9,553
250,5,9,580
250,5,9,690
251,5,3,211
251,5,9,367
251,5,9,616
251,5,9,696
251,5,9,760
252,5,1,200
252,5,9,343
252,5,9,411
252,5,9,490
252,5,9,701
252,5,9,712
253,5,9,540
253,5,9,731
253,5,2,775
254,5,1,20
254,5,1,560
254,5,9,565
254,5,9,983
255,5,1,95
255,5,9,620
256,5,2,145
256,5,9,367
256,5,9,404
256,5,9,616
256,5,2,800
257,5,1,100
257,5,3,370
257,5,9,516
257,5,9,710
257,5,1,713
258,5,3,150
258,5,9,452
258,5,9,553
259,5,9,615
259,5,2,900
260,5,9,223
260,5,9,581
260,5,1,660
261,5,9,481
261,5,9,552
261,5,9,580
262,5,9,373
262,5,9,500
262,5,9,600
262,5,9,970
263,5,9,411
263,5,1,770
263,5,9,830
263,5,9,860
264,5,9,434
264,5,9,600
264,5,1,651
264,5,9,830
265,5,9,60
265,5,9,343
265,5,9,349
266,5,9,435
266,5,9,600
267,5,3,290
268,5,9,235
268,5,9,331
268,5,9,373
268,5,9,435
268,5,9,517
268,5,9,705
269,5,9,232
269,5,1,385
269,5,1,652
269,5,9,696
269,5,1,750
269,5,9,811
269,5,1,840
270,5,9,420
270,5,9,680
271,5,9,55
271,5,9,352
271,5,9,591
271,5,1,700
272,5,9,58
272,5,9,230
272,5,9,510
273,5,9,230
273,5,9,420
273,5,9,475
273,5,9,517
273,5,9,732
274,5,1,40
274,5,9,110
274,5,2,640
274,5,1,700
274,5,9,987
275,5,9,331
275,5,9,570
276,5,3,385
276,5,9,404
276,5,9,483
277,5,9,110
277,5,9,230
277,5,9,316
277,5,3,345
277,5,9,372
277,5,9,511
278,5,9,54
278,5,1,101
278,5,9,490
278,5,3,750
278,5,9,910
279,5,9,54
279,5,9,205
279,5,9,580
279,5,9,702
279,5,9,947
280,5,9,58
280,5,3,220
280,5,9,484
280,5,9,551
280,5,9,552
280,5,9,571
281,5,1,41
281,5,9,349
281,5,9,620
282,5,1,140
282,5,1,150
282,5,1,345
282,5,9,663
283,5,9,58
283,5,9,232
283,5,9,360
283,5,3,920
284,5,9,359
284,5,9,471
284,5,3,560
284,5,1,651
285,5,9,317
285,5,9,438
285,5,9,490
286,5,1,145
286,5,9,580
286,5,9,663
287,5,9,349
287,5,3,713
288,5,1,155
288,5,2,365
288,5,9,435
288,5,9,481
288,5,9,510
288,5,1,700
289,5,9,230
289,5,9,616
290,5,1,135
290,5,3,640
290,5,9,704
291,5,9,60
291,5,9,516
291,5,9,740
292,6,1,130
292,6,9,452
292,6,1,645
293,6,1,101
293,6,9,572
295,6,9,56
295,6,1,70
295,6,9,360
296,6,3,2
296,6,9,338
296,6,3,395
296,6,9,490
296,6,9,510
296,6,9,771
296,6,9,811
296,6,9,860
297,6,9,265
297,6,9,360
297,6,9,490
297,6,1,775
297,6,9,860
298,6,1,90
298,6,9,346
298,6,1,395
298,6,9,402
298,6,9,572
298,6,1,700
298,6,9,705
298,6,9,731
298,6,9,950
298,6,9,986
299,6,9,58
299,6,1,94
299,6,9,115
299,6,9,305
299,6,1,315
299,6,1,365
299,6,9,572
299,6,9,620
299,6,9,703
299,6,9,970
300,6,9,484
300,6,9,490
300,6,9,516
301,6,9,420
301,6,9,616
301,6,2,666
301,6,1,670
301,6,9,910
302,6,1,130
302,6,3,212
302,6,9,223
303,6,2,93
303,6,9,500
303,6,9,615
303,6,1,660
303,6,9,830
304,6,9,230
304,6,9,305
305,6,2,145
305,6,3,369
305,6,9,702
305,6,1,840
306,6,1,42
306,6,9,223
306,6,9,344
306,6,9,481
306,6,9,541
306,6,9,760
307,6,9,352
307,6,9,367
307,6,1,369
307,6,9,434
307,6,9,516
307,6,9,517
307,6,1,530
307,6,9,740
308,6,9,54
308,6,9,437
308,6,9,580
309,6,9,360
309,6,9,434
309,6,9,698
309,6,9,702
309,6,9,816
310,6,9,600
310,6,9,698
310,6,1,800
310,6,9,950
311,6,9,366
311,6,2,630
312,6,9,31
312,6,1,380
312,6,1,390
312,6,9,510
312,6,1,645
312,6,3,900
313,6,9,51
313,6,9,57
313,6,9,481
313,6,9,510
313,6,9,517
313,6,1,530
313,6,9,615
314,6,9,80
314,6,2,95
314,6,9,235
314,6,9,305
314,6,9,483
314,6,9,820
315,6,9,433
315,6,9,835
316,6,9,316
316,6,1,390
316,6,9,435
316,6,1,750
317,7,9,60
317,7,1,92
317,7,3,200
317,7,9,411
317,7,9,438
317,7,9,451
317,7,9,580
317,7,9,620
318,7,3,165
318,7,3,370
318,7,9,471
318,7,9,553
318,7,3,750
321,7,9,221
321,7,9,581
322,7,1,42
322,7,9,57
322,7,9,830
322,7,9,986
323,7,1,42
323,7,9,616
323,7,9,830
323,7,9,983
324,7,1,41
324,7,9,205
324,7,3,315
324,7,9,704
324,7,9,760
325,7,9,110
325,7,1,345
325,7,9,451
325,7,9,625
325,7,9,694
325,7,1,900
325,7,9,990
326,7,3,20
326,7,3,101
327,7,9,205
327,7,3,385
327,7,9,511
328,7,3,40
328,7,9,56
328,7,9,115
328,7,9,516
328,7,9,531
330,7,9,403
330,7,9,552
330,7,2,670
331,7,9,516
332,7,3,92
332,7,1,212
332,7,9,352
332,7,9,740
333,7,1,145
333,7,9,359
333,7,9,437
333,7,9,626
334,7,9,232
334,7,9,481
334,7,9,552
335,7,9,581
336,7,2,145
336,7,3,212
336,7,9,223
336,7,9,360
336,7,9,368
336,7,2,450
336,7,9,692
336,7,9,812
337,7,1,315
337,7,2,350
337,7,8,660
337,7,9,732
337,7,9,780
338,7,9,221
338,7,9,403
339,7,9,57
339,7,1,315
339,7,9,346
339,7,9,373
340,7,1,92
340,7,9,265
340,7,1,290
340,7,9,437
340,7,9,615
341,7,9,31
341,7,9,339
341,7,9,781
343,7,9,331
343,7,9,355
343,7,9,411
343,7,9,452
343,7,9,510
343,7,1,800
344,7,1,165
344,7,9,223
344,7,3,530
344,7,9,731
345,7,9,54
345,7,9,58
345,7,2,212
345,7,2,560
346,7,1,20
346,7,2,92
346,7,9,511
346,7,9,522
346,7,1,645
347,7,9,317
347,7,9,510
347,7,9,760
347,7,9,771
347,7,9,820
348,7,1,40
348,7,2,135
348,7,2,210
348,7,9,343
348,7,1,365
348,7,9,702
348,7,9,732
348,7,1,750
349,7,9,451
349,7,9,790
350,7,9,367
350,7,9,625
351,7,9,946
352,7,9,411
352,7,9,740
352,7,9,860
353,7,9,221
353,7,9,310
353,7,9,816
353,7,9,835
354,7,9,55
354,7,9,712
354,7,9,990
355,7,9,305
355,7,9,531
355,7,3,840
356,7,3,91
356,7,9,205
356,7,1,211
356,7,1,220
356,7,9,359
356,7,9,451
356,7,9,690
356,7,9,860
357,7,1,630
357,7,1,678
358,7,1,211
358,7,9,343
358,7,9,551
358,7,9,571
359,7,1,42
359,7,9,438
359,7,9,760
360,7,1,150
360,7,9,816
360,7,9,820
360,7,9,935
361,7,9,235
362,7,1,91
362,7,9,540
363,7,9,51
363,7,9,373
363,7,1,652
363,7,9,820
364,7,3,91
364,7,9,115
364,7,9,483
364,7,9,580
364,7,9,860
365,7,1,2
365,7,1,380
365,7,9,696
366,8,9,339
366,8,9,481
366,8,9,698
367,8,1,70
367,8,9,510
367,8,1,630
367,8,9,712
367,8,9,816
368,8,1,345
368,8,1,369
368,8,9,402
368,8,1,920
369,8,3,93
369,8,9,260
369,8,1,450
369,8,9,501
369,8,1,530
369,8,9,710
369,8,9,940
370,8,9,60
370,8,1,666
370,8,9,705
370,8,9,780
370,8,1,800
370,8,9,935
371,8,9,60
371,8,9,110
371,8,9,115
371,8,1,160
371,8,9,581
371,8,9,600
371,8,9,771
371,8,9,835
372,8,3,211
372,8,9,325
372,8,9,987
373,8,3,210
373,8,1,315
374,8,9,51
374,8,9,349
374,8,1,380
374,8,9,531
375,8,1,93
375,8,9,541
376,8,9,53
376,8,1,800
377,8,9,80
377,8,9,339
377,8,9,372
377,8,9,373
377,8,1,385
377,8,9,830
378,8,3,165
378,8,9,590
378,8,9,600
378,8,9,710
379,8,2,91
380,8,9,310
381,8,1,140
381,8,9,221
381,8,1,290
381,8,9,704
382,8,9,812
383,8,1,140
383,8,9,331
383,8,9,411
383,8,9,590
383,8,9,620
383,8,9,820
384,8,1,42
384,8,9,223
384,8,9,305
384,8,9,349
385,8,1,94
385,8,9,551
385,8,9,680
385,8,2,770
385,8,9,781
385,8,9,790
385,8,9,816
385,8,9,990
386,8,3,315
386,8,9,373
386,8,2,652
386,8,8,660
386,8,9,701
387,8,9,110
387,8,1,200
387,8,9,432
387,8,3,530
387,8,9,626
388,8,9,367
388,8,3,390
388,8,1,651
388,8,9,790
389,8,1,345
390,8,3,40
390,8,3,100
390,8,9,223
390,8,1,370
390,8,9,510
390,8,3,560
390,8,9,572
391,8,2,150
391,8,9,305
391,8,2,380
391,8,9,626
391,8,9,701
391,8,1,770
392,9,9,56
392,9,1,90
392,9,9,338
392,9,9,435
392,9,9,471
392,9,9,531
392,9,9,830
393,9,9,235
393,9,9,551
393,9,9,731
394,9,9,58
394,9,1,315
394,9,9,511
394,9,9,701
394,9,9,816
395,9,9,52
395,9,1,220
395,9,3,345
395,9,9,432
395,9,3,660
396,9,9,531
396,9,2,645
396,9,1,700
396,9,9,712
396,9,2,770
397,9,9,451
397,9,8,840
397,9,9,940
398,9,9,403
399,9,9,110
399,9,1,155
400,9,2,42
400,9,3,200
400,9,9,703
401,9,9,232
401,9,1,640
401,9,9,820
402,9,1,155
402,9,9,372
402,9,9,540
402,9,9,692
402,9,9,702
403,9,9,375
403,9,9,780
403,9,9,820
404,9,3,93
404,9,9,221
404,9,9,317
404,9,2,651
405,9,9,482
405,9,9,484
405,9,9,517
405,9,1,640
405,9,2,900
406,9,1,155
406,9,9,221
407,9,9,31
407,9,9,55
407,9,9,221
407,9,9,344
407,9,9,355
407,9,9,432
407,9,9,437
407,9,9,620
407,9,2,700
407,9,9,781
408,9,9,221
409,9,1,91
409,9,9,205
409,9,3,380
409,9,9,501
409,9,9,511
409,9,1,652
410,9,1,165
410,9,9,402
410,9,9,565
410,9,9,703
411,9,9,310
411,9,9,510
411,9,1,920
411,9,9,947
412,9,1,150
412,9,9,310
413,9,9,339
413,9,9,344
413,9,9,352
413,9,1,370
413,9,9,511
413,9,1,651
414,9,9,316
414,9,9,317
414,9,9,360
414,9,9,420
414,9,9,600
414,9,9,680
414,9,9,760
415,9,9,360
415,9,9,483
415,9,2,530
415,9,9,552
415,9,9,705
416,9,2,713
416,9,9,816
417,9,2,345
417,9,9,692
418,9,2,41
418,9,3,160
418,9,9,344
418,9,9,740
419,9,9,339
419,9,9,372
419,9,9,434
419,9,3,645
419,9,9,690
419,9,9,703
420,9,1,135
420,9,1,530
420,9,1,652
420,9,9,947
421,9,1,395
421,9,9,570
422,9,1,20
422,9,9,812
423,10,1,2
423,10,1,395
423,10,9,481
423,10,9,551
423,10,9,696
423,10,3,750
424,10,9,620
424,10,2,630
424,10,9,740
425,10,3,369
425,10,3,670
425,10,9,732
426,10,1,92
426,10,9,110
426,10,9,260
426,10,9,452
426,10,9,490
426,10,9,986
427,10,9,51
427,10,9,352
427,10,2,450
427,10,9,520
427,10,9,616
428,10,9,230
428,10,9,331
428,10,9,510
429,10,1,150
429,10,9,373
429,10,9,541
429,10,9,790
429,10,9,987
430,10,9,80
430,10,1,90
430,10,9,439
431,10,3,95
431,10,9,482
432,10,9,115
432,10,9,371
432,10,9,860
433,10,9,461
434,10,9,260
434,10,9,343
434,10,9,411
434,10,9,434
434,10,9,483
435,10,9,235
435,10,9,475
435,10,9,511
435,10,9,522
435,10,1,666
436,10,1,95
436,10,9,225
436,10,9,346
437,10,1,130
437,10,1,210
437,10,9,553
438,10,1,160
438,10,9,223
438,10,9,265
438,10,8,360
438,10,9,403
438,10,8,560
439,10,9,475
439,10,9,565
440,10,8,310
440,10,9,403
440,10,8,812
441,10,9,373
441,10,9,471
441,10,9,522
441,10,1,850
442,10,1,370
442,10,9,484
442,10,9,696
443,10,9,343
443,10,8,663
444,10,9,60
444,10,9,570
444,10,9,580
444,10,1,700
445,10,1,130
445,10,1,165
445,10,9,581
445,10,1,678
446,10,9,225
446,10,8,230
446,10,8,375
446,10,9,572
447,10,9,344
447,10,9,520
448,10,1,211
448,10,9,367
448,10,9,368
448,10,9,731
449,10,1,450
449,10,9,615
449,10,9,692
449,10,9,705
450,10,1,70
450,10,1,350
450,10,9,371
450,10,9,551
450,10,1,713
451,10,1,210
451,10,9,338
452,10,9,366
452,10,9,434
452,10,9,437
453,10,1,630
453,10,9,705
454,10,9,338
454,10,1,770
454,10,1,840
454,10,9,860
455,10,8,339
455,10,8,355
455,10,9,616
456,10,1,713
456,10,9,771
456,10,9,946
457,10,1,70
457,10,3,380
458,10,9,57
458,10,1,95
458,10,9,947
459,10,9,517
459,10,9,551
459,10,2,770
460,11,9,366
460,11,9,781
461,11,1,94
461,11,9,551
461,11,9,553
461,11,9,571
461,11,1,666
462,11,1,94
